intent,pattern,response
greeting,Hi,Hello! How can I assist you today?
greeting,Hello,Hi there! How can I help?
greeting,Hey,Hey! How's your day going?
greeting,Good morning,Good morning! Hope you’re doing well.
greeting,Good evening,Good evening! How may I assist?
greeting,Hello there,Hello there! What can I do for you?
greeting,Hi there,Hi there! How's it going?
greeting,What's up?,Hey! What's new?
greeting,How are you?,I'm doing great! How about you?
greeting,How's your day?,My day is going well! What about you?
greeting,Hi, my name is John,Nice to meet you, John! How can I help?
greeting,Hello, I am Sarah,Nice to meet you, Sarah! What can I do for you?
greeting,Hey, I'm Michael,Great to meet you, Michael! How can I assist?
greeting,Hi, I'm Emma,Hello Emma! What brings you here today?
greeting,My name is Alex,Hey Alex! Nice to meet you.
greeting,Hi, how's it going?,Hey! I'm doing well. How about you?
greeting,Hey there,Hey there! What’s up?
greeting,Hi buddy,Hi! How can I help, buddy?
greeting,Good afternoon,Good afternoon! How’s your day going?
greeting,Hey friend,Hello friend! What’s on your mind?
greeting,Hello buddy,Hey buddy! How can I assist you today?
greeting,Hi mate,Hi mate! Hope you’re having a great day.
greeting,Yo,Yo! What’s going on?
greeting,Hey dude,Hey dude! What’s new?
greeting,Hi pal,Hey pal! Need any help?
greeting,Good day,Good day! How may I assist you?
greeting,Greetings,Greetings! What brings you here today?
greeting,Hey there!,Hello! What can I do for you?
greeting,Hi, nice to meet you!,Nice to meet you too! How can I help?
greeting,Hey, how are you today?,I'm great! How about you?
greeting,Hey, what's up?,Not much! How about you?
greeting,Hi, how have you been?,I’ve been good! How about you?
greeting,Hi there! Who are you?,I’m your chatbot assistant! How can I help?
greeting,Hey, can you chat with me?,Of course! I’m here to chat. What’s on your mind?
greeting,Good day to you,Good day! How can I help you?
greeting,Hello friend!,Hello! Always happy to chat!
greeting,Hi there, friend!,Hey friend! How are you doing today?
greeting,Hi, how's your evening?,It's going well! How’s yours?
greeting,Hey there, how's it going?,All good! What about you?
greeting,Hello, nice to see you!,Nice to see you too! How can I assist?
greeting,Hi, how's life?,Life’s good! What about you?
greeting,Hey, tell me something interesting,Did you know that honey never spoils?
greeting,Hi, what can you do?,I can chat with you and help answer questions!
greeting,Hello, can you talk?,Yes, I’m always ready to chat. How can I help?
greeting,Hey, are you a robot?,Yes, but I’m a friendly one!
greeting,Hi, what's your name?,I’m your chatbot assistant!
greeting,Hello AI,Hey human! How’s your day?
greeting,Hey, do you have emotions?,I don’t have emotions, but I’m here to help!
greeting,Hi, I'm feeling happy,That’s great to hear! What made you happy?
greeting,Hi, I'm feeling sad,Oh no! Want to talk about it?
greeting,Hey, I'm excited,That’s awesome! What’s the occasion?
greeting,Hi, I'm bored,Let’s chat! Tell me something interesting about you.
greeting,Hello, I'm new here,Welcome! How can I help you today?
greeting,Hey, can we be friends?,Of course! I’m always here to chat with you.
greeting,Hi, long time no see!,Yes! It’s great to talk to you again!
greeting,Hello, I missed you,That’s sweet! I’m always here for you.
greeting,Hey, let’s chat!,Sure! What’s on your mind?
greeting,Hi, let's talk about life,Life is fascinating! What part of it interests you?
greeting,Hey, do you know any jokes?,Sure! Why don’t scientists trust atoms? Because they make up everything!
greeting,Hello, tell me a fun fact,Did you know that octopuses have three hearts?
greeting,Hey, what's the meaning of life?,That’s a deep question! Some say it’s to find happiness.
greeting,Hi, are you smart?,I try my best to be helpful!
greeting,Hey, what’s your purpose?,I’m here to assist and chat with you anytime.
greeting,Hello, what’s new?,Not much! Just happy to chat with you.
greeting,Hi, I need someone to talk to,I'm here! What’s on your mind?
greeting,Hey, tell me a story,Once upon a time, there was a friendly chatbot who loved to chat...
greeting,Hi, do you like music?,I don’t listen to music, but I can chat about it!
greeting,Hello, tell me a quote,Here’s one: "The only way to do great work is to love what you do." - Steve Jobs
greeting,Hey, can I ask you something?,Of course! What’s your question?
greeting,Hi, tell me about yourself,I’m an AI chatbot trained to chat with you!
greeting,Hey, what's the weather like?,I don’t have real-time data, but I hope it’s nice outside!
greeting,Hello, I have a question,Sure! Ask me anything.
greeting,Hi, are you online?,Yes! I’m always here to chat.
greeting,Hey, how was your day?,My day is great because I get to chat with you!
greeting,Hello, I'm learning AI,That’s awesome! AI is a fascinating field.
greeting,Hey, do you like books?,I don’t read, but I can chat about books!
greeting,Hi, tell me something funny,Why did the computer catch a cold? Because it left its Windows open!
